314.600,  6.2215e-14
314.700,  6.4404e-14
314.800,  6.6669e-14
314.900,  6.9012e-14
315.000,  7.1436e-14
315.100,  7.3943e-14
315.200,  7.6537e-14
315.300,  7.9219e-14
315.400,  8.1994e-14
315.500,  8.4865e-14
315.600,  8.7834e-14
315.700,  9.0904e-14
315.800,  9.4080e-14
315.900,  9.7365e-14
316.000,  1.0076e-13
316.100,  1.0428e-13
316.200,  1.0791e-13
316.300,  1.1167e-13
316.400,  1.1556e-13
316.500,  1.1957e-13
316.600,  1.2373e-13
316.700,  1.2803e-13
316.800,  1.3247e-13
316.900,  1.3707e-13
317.000,  1.4182e-13
317.100,  1.4674e-13
317.200,  1.5182e-13
317.300,  1.5707e-13
317.400,  1.6250e-13
317.500,  1.6812e-13
317.600,  1.7392e-13
317.700,  1.7993e-13
317.800,  1.8613e-13
317.900,  1.9255e-13
318.000,  1.9918e-13
318.100,  2.0604e-13
318.200,  2.1313e-13
318.300,  2.2046e-13
318.400,  2.2803e-13
318.500,  2.3586e-13
318.600,  2.4396e-13
318.700,  2.5232e-13
318.800,  2.6097e-13
318.900,  2.6991e-13
319.000,  2.7915e-13
319.100,  2.8870e-13
319.200,  2.9857e-13
319.300,  3.0877e-13
319.400,  3.1931e-13
319.500,  3.3020e-13
319.600,  3.4146e-13
319.700,  3.5310e-13
319.800,  3.6512e-13
319.900,  3.7755e-13
320.000,  3.9039e-13
320.100,  4.0366e-13
320.200,  4.1737e-13
320.300,  4.3154e-13
320.400,  4.4618e-13
320.500,  4.6131e-13
320.600,  4.7694e-13
320.700,  4.9309e-13
320.800,  5.0978e-13
320.900,  5.2702e-13
321.000,  5.4483e-13
321.100,  5.6323e-13
321.200,  5.8224e-13
321.300,  6.0188e-13
321.400,  6.2217e-13
321.500,  6.4314e-13
321.600,  6.6479e-13
321.700,  6.8716e-13
321.800,  7.1026e-13
321.900,  7.3413e-13
322.000,  7.5879e-13
322.100,  7.8425e-13
322.200,  8.1056e-13
322.300,  8.3773e-13
322.400,  8.6579e-13
322.500,  8.9478e-13
322.600,  9.2472e-13
322.700,  9.5563e-13
322.800,  9.8757e-13
322.900,  1.0205e-12
323.000,  1.0546e-12
323.100,  1.0898e-12
323.200,  1.1261e-12
323.300,  1.1636e-12
323.400,  1.2023e-12
323.500,  1.2423e-12
323.600,  1.2837e-12
323.700,  1.3263e-12
323.800,  1.3703e-12
323.900,  1.4158e-12
324.000,  1.4628e-12
324.100,  1.5113e-12
324.200,  1.5613e-12
324.300,  1.6130e-12
324.400,  1.6663e-12
324.500,  1.7214e-12
324.600,  1.7783e-12
324.700,  1.8370e-12
324.800,  1.8976e-12
324.900,  1.9602e-12
325.000,  2.0248e-12
325.100,  2.0915e-12
325.200,  2.1604e-12
325.300,  2.2314e-12
325.400,  2.3048e-12
325.500,  2.3805e-12
325.600,  2.4587e-12
325.700,  2.5393e-12
325.800,  2.6226e-12
325.900,  2.7086e-12
326.000,  2.7973e-12
326.100,  2.8888e-12
