index,T,flux
216,797.218,58987486852474704
217,799.375,54275604449856072
218,801.531,73976693023537520
219,803.796,71553926491619016
220,806.078,83148725301132736
221,808.25,88190844571230320
222,810.5,100206803245871952
223,812.656,101738731147843456
224,814.859,100756461325165632
225,817.015,98288907412479584
226,819.187,128401535670283024
227,821.328,120618700594289248
228,823.5,127345246442830576
229,825.656,134992283649764768
230,827.828,154503538094443456
231,829.984,166518523274240352
232,832.125,188925839963798080
233,834.265,183064591459179648
234,836.421,212411644064719040
235,838.578,212964157059055008
236,840.734,234536981455540704
237,842.875,238945414536168288
238,845.015,252251704370886656
239,847.171,282126320597140768
240,849.328,326356890261722432
241,851.484,319008617905634432
242,853.64,318706843901250560
243,855.781,351604817860653440
244,857.937,375651748406437952
245,860.078,373912422511678464
246,862.25,400917754983152384
247,864.406,396915491300023232
248,866.546,428937921609046208
249,868.703,472337333930611008
250,870.859,495760068958610816
251,873,495517521211470848
252,875.156,519011625209770048
253,877.312,580646887000188800
254,879.468,572364948767053376
255,881.625,600240696687233152
256,883.765,605206317339081856
257,885.921,647750641595966208
258,888.093,623994894880207616
259,890.281,653718605092478208
260,892.453,698370482338212864
261,894.593,737070826676307072
262,896.75,709654887185054208
263,898.89,766999556139405824
264,901.046,760495143006036096
265,903.203,771675864177582848
266,905.343,786891720932732672
267,907.5,807923004701955584
268,909.656,813436378893586816
269,911.796,840369625403881856
270,913.953,875089160229974144
271,916.109,871114451423600256
272,918.265,882063631947081344
273,920.406,919611385278859776
274,922.562,968854957008773248
275,924.718,930151335181872000
276,926.875,970275615444799872
277,929.015,981728776125564032
278,931.171,1000621054848412928
279,933.328,1011892026104798336
280,935.484,1013649890346113024
281,937.64,999802264195059712
282,939.781,1044549094084133632
283,941.921,1048597224135610624
284,944.093,1051647592902310912
285,946.234,1062529634569256320
286,948.39,1069953703009414528
287,950.531,1053772039961094144
288,952.687,1099073028493859072
289,954.843,1127668439581328256
290,957,1151712838714787328
291,959.156,1146938529077144192
292,961.312,1160302091195917824
293,963.468,1150444362137468288
294,965.609,1152132688328957568
295,967.765,1199498658281865984
296,969.906,1147689683640063232
297,972.062,1221013816099200256
298,974.234,1188502785406377984
299,976.39,1230764268816560896
300,978.531,1212089688620571392
301,980.703,1177074279746895872
302,982.859,1245548643379976704
303,985,1239238986190823680
304,987.171,1270475192809159424
305,989.312,1286645606384144128
306,991.468,1331593657689533696
307,993.625,1309176059818088192
308,995.781,1338796208099163904
309,997.937,1331247573744795136
310,1000.093,1263296444839859200
311,1002.25,1274051277927276544
312,1004.406,1336673480215886592
313,1006.546,1317522387820935936
314,1008.718,1381594932177110016
315,1010.875,1322740799951760384
316,1013.031,1310602373354020352
317,1015.187,1337139998774967040
318,1017.343,1295602235351810048
319,1019.484,1306986668601408512
320,1021.64,1308245523816760320
321,1023.812,1366089993314861056
322,1025.984,1396997849235266816
323,1028.14,1412561625090941184
324,1030.312,1365723612667554816
325,1032.5,1401580385132698624
326,1034.687,1336095114081261568
327,1036.875,1391761846277145856
328,1039.062,1380424946319957504
329,1041.25,1314588927437156864
330,1043.437,1340409526207772416
331,1045.64,1373368625457203968
332,1047.828,1307987786432986624
333,1050,1253317744158972416
334,1052.187,1261803502118073088
335,1054.375,1257867098505899520
336,1056.562,1198426642431457536
337,1058.75,1216298961312256768
338,1060.921,1243887247214408960
339,1063.109,1205272381691219968
340,1065.281,1112077486540134400
341,1067.453,1065337878303962496
342,1069.64,910180467773368064
343,1071.843,888156239593434240
344,1074.031,891610622915340288
345,1076.234,822942145080588928
346,1078.437,854994785403127296
347,1080.625,790398851901456896
348,1082.828,795347844636982912
349,1085.015,792923428368744448
350,1087.187,754849137069769216
351,1089.375,747382144544824448
352,1091.562,749393079552530560
353,1093.734,729017367759012608
354,1095.921,739334405593609344
355,1098.109,686560307071170432
356,1100.296,686754478212631424
357,1102.484,673545228991561856
358,1104.671,705171107408819072
359,1106.875,697218994391822336
360,1109.062,705282393819444480
361,1111.25,705405303736447360
362,1113.437,729366910129409792
363,1115.625,744808546531586048
364,1117.812,806421703242180480
365,1120,764363324893666816
366,1122.203,753764489496017280
367,1124.39,785129287857641088
368,1126.578,768332795755053056
369,1128.781,776541644404385152
370,1130.953,786979070293035648
371,1133.14,728154263123629440
372,1135.328,742190583144197632
373,1137.515,730417575266595840
374,1139.687,697152665899462016
375,1141.875,693801249042341760
376,1144.062,679614113648042624
377,1146.25,672295161308317312
378,1148.453,635966063703148160
379,1150.625,635780552288016896
380,1152.812,613372267676851840
381,1155.015,589857937040030464
382,1157.234,583310312707421184
383,1159.437,580164481670606336
384,1161.609,601933181307556096
385,1163.796,557551576462058240
386,1165.984,557112477769751808
387,1168.171,519651469018790272
388,1170.359,509512904184025664
389,1172.531,490643855742526976
390,1174.718,504587192417358976
391,1176.921,490945453401702528
392,1179.125,463108442485518592
393,1181.312,448606111231061632
394,1183.484,453875860778437312
395,1185.671,419895061943570176
396,1187.859,427864260248556416
397,1190.046,412139007970949056
398,1192.218,384784768727600512
399,1194.406,380275752895184704
400,1196.609,368238463608304768
401,1198.81,372654120110059136
402,1201.01,347258807721498176
403,1203.2,351342809417305088
404,1205.41,319454591052194816
405,1207.61,315166068363007040
406,1209.81,321361265873470464
407,1212,304131216725859264
408,1214.19,323496992162904320
409,1216.39,276778112083562496
410,1218.59,262001661303954304
411,1220.78,257955893678758752
412,1222.97,256086608484717664
413,1225.16,242931026926609504
414,1227.34,238764799062459200
415,1229.51,227938559245040416
416,1231.7,213573258064793600
417,1233.89,195644011001477664
418,1236.06,212690323777521312
419,1238.26,202813062022951616
420,1240.45,207799913011617504
421,1242.66,207504734233081024
422,1244.84,191803227592952544
423,1247.03,172103362817899936
424,1249.2,181072243588468896
425,1251.39,164463699852655968
