t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Flux surface 10: solute,Flux surface 11: solute,Flux surface 12: solute
401447.77789250936,9.869264746863091e+17,2.782925596878604e+17,1.8178430100253028e+18,-2213818289051.959,-119438432754192.94,-2.521625184894474e-24
442592.5556817603,1.0228203892947613e+18,2.993762739884887e+17,1.9883807686138885e+18,-2431876530266.123,-119456060045319.44,-9.53899714857632e-24
487851.81124993635,1.0598913575175903e+18,3.209944163365979e+17,2.1676946507852708e+18,-2658334677577.715,-119472829456349.52,-3.3952151064141996e-23
537636.9923749301,1.0981842187338127e+18,3.430216374517826e+17,2.3553536088249764e+18,-2891038236170.5435,-119488781587283.67,-1.1382024136892233e-22
592400.6916124232,1.1377442441091068e+18,3.653233429043784e+17,2.550833016252042e+18,-3127615613694.9414,-119503954480933.36,-3.599252129068032e-22
652640.7607736655,1.178617266338247e+18,3.8775953723652794e+17,2.7535301482472125e+18,-3365572782554.424,-119518383848633.4,-1.0755139281139648e-21
718904.8368510321,1.2208498338450957e+18,4.101889959857195e+17,2.96278337748993e+18,-3602396907646.181,-119532103294983.11,-3.0426838600805437e-21
791795.3205361353,1.264489385094101e+18,4.3247349088507565e+17,3.1778939026743286e+18,-3835660201738.64,-119545144538613.6,-8.165441837694653e-21
871974.8525897489,1.3095844367409347e+18,4.544817890830908e+17,3.3981486307309937e+18,-4063115322634.099,-119557537624393.75,-2.082729643588214e-20
960172.3378487239,1.3561847782836457e+18,4.760931747665356e+17,3.6228427921729976e+18,-4282774872561.0835,-119569311121770.12,-5.059033312726647e-20
1057189.5716335964,1.4043416657305725e+18,4.972002960199133e+17,3.8513009798194304e+18,-4492969739004.482,-119580492304117.34,-1.1725915058592468e-19
1163908.5287969562,1.4541080074883354e+18,5.177112117753633e+17,4.0828955376359977e+18,-4692383699098.966,-119591107304942.2,-2.59871925196382e-19
1281299.381676652,1.505538536987627e+18,5.375505918993611e+17,4.317061544678633e+18,-4880064414959.262,-119601181248295.4,-5.518660640196669e-19
1410429.3198443174,1.5586899682361664e+18,5.566600968197938e+17,4.553307988565258e+18,-5055413253523.269,-119610738352538.05,-1.1255066104114103e-18
1552472.2518287492,1.613621132251328e+18,5.749980230263953e+17,4.791225056542668e+18,-5218157992160.741,-119619802008371.73,-2.2097156591104397e-18
1708719.4770116243,1.6703930939459377e+18,5.925383422486939e+17,5.030487754248863e+18,-5368313314386.623,-119628394833549.48,-4.186855861006684e-18
1880591.424712787,1.7290692503781868e+18,6.092692838243786e+17,5.270856271732866e+18,-5506134109251.14,-119636538707771.78,-7.676115131896934e-18
2069650.5671840657,1.7897154122489372e+18,6.251916135047665e+17,5.51217364692397e+18,-5632066122378.004,-119644254791886.44,-1.3654427543971344e-17
2277615.6239024727,1.8523998711385467e+18,6.403167515016005e+17,5.75436133406651e+18,-5746697674133.741,-119651563535655.03,-2.3631084735408207e-17
2506377.18629272,1.9171934552591926e+18,6.546648526104512e+17,5.99741328174477e+18,-5850715165826.121,-119658484678117.56,-3.990033367628735e-17
2758014.904921992,1.9841695765286305e+18,6.682629462880476e+17,6.241389078435022e+18,-5944864104954.692,-119665037244097.19,-6.59086432749192e-17
3034816.3954141918,2.0534042716134533e+18,6.811432084059666e+17,6.486406649405999e+18,-6029916508752.025,-119671239539727.88,-1.0679176574519337e-16
3339298.034955611,2.1249762393186486e+18,6.933414118083174e+17,6.732634901377566e+18,-6106644851685.022,-119677109149189.16,-1.7016371793412155e-16
3674227.838451172,2.1989668763590157e+18,7.048955814700884e+17,6.980286621521995e+18,-6175802223896.935,-119682662934159.84,-2.672786373786356e-16
4042650.6222962895,2.2754603131840591e+18,7.158448627902835e+17,7.229611852645353e+18,-6238108050520.8545,-119687917036879.12,-4.1474081452830966e-16
4447915.684525919,2.354543451163981e+18,7.262285984946028e+17,7.480891891252751e+18,-6294238556428.063,-119692886887214.88,-6.370107525348147e-16
4893707.252978511,2.436306002100956e+18,7.360856004666881e+17,7.734433991912132e+18,-6344821111119.631,-119697587213710.55,-9.700442175956461e-16
5384077.978276363,2.520840530720415e+18,7.454535970391279e+17,7.990566810507714e+18,-6390431618897.508,-119702032058308.53,-1.4664948016859029e-15
5923485.7761039995,2.6082425005286047e+18,7.543688332292324e+17,8.249636580186886e+18,-6431594199872.367,-119706234794237.69,-2.2029767223462585e-15
6516834.3537144,2.6986103232031314e+18,7.628658004754387e+17,8.512003985990787e+18,-6468782513979.487,-119710208146450.31,-3.2898612777796223e-15
7169517.789085841,2.7920454115155144e+18,7.709770730455356e+17,8.778041685888169e+18,-6502422195623.701,-119713964213961.9,-4.883867815580423e-15
7887469.567994425,2.888652235668215e+18,7.787332299513135e+17,9.04813241558167e+18,-6532893978997.803,-119717514493467.47,-7.203175548106801e-15
8677216.524793869,2.988538382862718e+18,7.861628435031438e+17,9.322667610346367e+18,-6560537195992.862,-119720869903681.42,-1.0543786708977706e-14
9545938.177273257,3.0918146198890977e+18,7.932925182451524e+17,9.60204647767097e+18,-6585653415692.655,-119724040809933.44,-1.5294322359454842e-14
10000000.0,3.1441327548000046e+18,7.967707967097667e+17,9.742464833884017e+18,-6597542765020.88,-119725573398755.17,-1.808822110871915e-14
