t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Total solute volume 8,Total solute volume 7,Total solute volume 6
1.0,1440298718705245.5,-6.94170131882951e-19,-1.2410357161390013e-21,946019793133478.4,-6.941528643768958e-19,-1.2309445251963203e-21
2.1,2206631402613868.0,3.799926768122836e-16,-1.7235655991209677e-19,1436130883872131.2,3.7998368149180593e-16,-1.7095948310430892e-19
3.3100000000000005,2821906006353196.0,7.584653013964022e-15,-2.9157420477256804e-18,1821857668964256.8,7.584473608489059e-15,-2.8921653722556774e-18
4.641000000000001,3370479267339839.5,-7.643252727779987e-15,7.745055531701774e-18,2159762114512703.0,-7.64307490713747e-15,7.68376803757232e-18
6.105100000000002,3883981274051408.5,-2.6443722693448944e-13,8.527474404447286e-17,2470858349051835.0,-2.644309834887449e-13,8.457898074859526e-17
7.7156100000000025,4378304855022378.0,5.983965212322435e-13,-2.701672485629042e-16,2765536823833090.0,5.98382616190827e-13,-2.6805567782287446e-16
9.487171000000004,4862870624453772.0,7.310282971671626e-13,2.50980087811797e-16,3049801205500775.5,7.310097518732124e-13,2.49720311923063e-16
11.435888100000005,5343916473500835.0,-1.8306924811107363e-11,7.799659685115634e-16,3327480896490511.5,-1.830649980927441e-11,7.729398459145961e-16
13.579476910000007,5825927215257492.0,1.859303754680105e-10,-3.621563599699152e-14,3601191146048269.5,1.8592607716058318e-10,-3.594498218950969e-14
15.937424601000009,6312344761320990.0,2.191739845311661e-10,1.289689637681494e-13,3872808629599135.5,2.1916887698129705e-10,1.2801478372863013e-13
18.53116706110001,6805956414071176.0,-7.786541074645562e-09,5.923749950025471e-13,4143730180801964.5,-7.786360475390032e-09,5.878488564256866e-13
21.384283767210015,7309123286364828.0,-7.746457684982168e-09,-2.7513509957279956e-12,4415023747600501.0,-7.746276249305345e-09,-2.7309499609243572e-12
24.522712143931017,7823922815555026.0,1.8343525458742108e-07,-3.81814028623377e-12,4687521368638413.0,1.834309958422463e-07,-3.7875810565306524e-12
27.97498335832412,8352242202940571.0,5.696072216801696e-07,1.771508581327372e-11,4961878967703122.0,5.695939261889587e-07,1.7587931073834728e-11
31.772481694156536,8895842420957635.0,-5.518148487200418e-07,-9.347314338556659e-11,5238616193434783.0,-5.518021582455673e-07,-9.278832377609331e-11
35.949729863572195,9456403866129532.0,-4.006171306574879e-06,-1.843783170620916e-10,5518143766142050.0,-4.006077132804493e-06,-1.8305405562805885e-10
40.544702849929415,1.0035560205358336e+16,-4.182107971945139e-06,1.8670393569863708e-09,5800782742829116.0,-4.182007302852201e-06,1.8531147981441418e-09
45.59917313492236,1.063492444463783e+16,-3.468388374929147e-05,2.3593641951050186e-09,6086778414476605.0,-3.468308958065446e-05,2.3419317803029004e-09
51.1590904484146,1.1256109789526872e+16,-0.00016100626644724003,-1.8309169336080405e-08,6376310564703534.0,-0.00016100258976185157,-1.8172306902116658e-08
57.27499949325607,1.190074699003996e+16,0.000458718436500982,-1.6613567189318233e-08,6669501225992376.0,0.0004587078152320378,-1.6488831897148775e-08
64.00249944258168,1.2570499319756826e+16,0.0049167436682756695,1.4952400025669006e-07,6966420700915693.0,0.00491663018846408,1.4840715548484126e-07
71.40274938683986,1.326707599374106e+16,0.008730244222628794,7.174822090935784e-08,7267092379567972.0,0.008730042309956118,7.120008051582409e-08
