t(s),Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Flux surface 1: solute,Average T volume 1
0.0046432394247626334,4.2638146009580754e+18,4.677986965902667e+16,4.4427209493421216e+17,2.812938015299002e+18,4.898174849734088e+20,673.0000000000006
0.004880615738562403,4.377221363189635e+18,4.805381339478043e+16,4.558238675637343e+17,2.8873802175233987e+18,4.776718956803983e+20,673.0000000000006
0.005078429333395544,4.469845463154894e+18,4.91125057990084e+16,4.653444360893376e+17,2.9477027798227594e+18,4.681651073744185e+20,673.0000000000006
0.005315805647195313,4.5784697253744195e+18,5.034244524322545e+16,4.764824276939769e+17,3.018723168880803e+18,4.5753454789976195e+20,673.0000000000006
0.005513619242028454,4.667331007525084e+18,5.136497518572125e+16,4.856588628174933e+17,3.076405198668455e+18,4.4915195311730996e+20,673.0000000000006
0.005750995555828223,4.771721352182016e+18,5.255343707824979e+16,4.963817820409713e+17,3.144499258711884e+18,4.397060327556453e+20,673.0000000000006
0.005948809150661364,4.857231984278598e+18,5.354026017962079e+16,5.0521475561799456e+17,3.1999424374774303e+18,4.3222060815246105e+20,673.0000000000006
0.006186185464461133,4.957832667644367e+18,5.468835089941262e+16,5.1554643720661926e+17,3.2655067786904207e+18,4.237476388735021e+20,673.0000000000006
0.006383999059294274,5.040333839155262e+18,5.564136394048947e+16,5.240659967702209e+17,3.318981433293485e+18,4.170128985616267e+20,673.0000000000006
0.006621375373094043,5.137519084198195e+18,5.675173496173445e+16,5.340447780762003e+17,3.3822948879823944e+18,4.093647583197439e+20,673.0000000000006
0.006906226949653767,5.251693152428372e+18,5.803613534731428e+16,5.456455528044025e+17,3.457230381819624e+18,4.007732083648325e+20,673.0000000000006
0.007143603263453536,5.345226687384998e+18,5.910479824417013e+16,5.5526139041243725e+17,3.518152560611062e+18,3.9398675882681244e+20,673.0000000000006
0.00742845484001326,5.455283541597526e+18,6.035103519224079e+16,5.665343612664736e+17,3.590119867805045e+18,3.863243748337245e+20,673.0000000000006
0.007665831153813029,5.545552548249755e+18,6.138845328986742e+16,5.758646404910844e+17,3.648735412210966e+18,3.8023879049124603e+20,673.0000000000006
0.007950682730372752,5.65190534030984e+18,6.259821733962647e+16,5.867710258850999e+17,3.7181500700901253e+18,3.733249642816321e+20,673.0000000000006
0.008188059044172523,5.739223457239166e+18,6.360234078782764e+16,5.957563330679822e+17,3.774876126157565e+18,3.6781124682165866e+20,673.0000000000006
0.008472910620732245,5.842215581231085e+18,6.47616312149072e+16,6.061059636043246e+17,3.842572936578989e+18,3.615304393024832e+20,673.0000000000006
0.008710286934532015,5.926854044710691e+18,6.569607978122208e+16,6.144890257355872e+17,3.8987207854459474e+18,3.56525930046785e+20,673.0000000000006
0.008995138511091738,6.026807943274596e+18,6.674052315064126e+16,6.246762579656142e+17,3.966012959410291e+18,3.508678147844154e+20,673.0000000000006
0.009336960402963406,6.144593440029352e+18,6.802159779187458e+16,6.386589686038573e+17,4.042249586330252e+18,3.445532673545825e+20,673.0000000000006
0.009621811979523128,6.24131383460974e+18,6.924928069773778e+16,6.501700893982502e+17,4.101041872410958e+18,3.3951965381738896e+20,673.0000000000006
0.009859188293322899,6.320938867551063e+18,7.027228285519453e+16,6.580148449445112e+17,4.1508093308337464e+18,3.354115745807678e+20,673.0000000000006
0.010144039869882621,6.41511268580234e+18,7.133758323751795e+16,6.660887666955808e+17,4.2139859181374377e+18,3.3058075166735185e+20,673.0000000000006
0.010485861761754289,6.526229749294677e+18,7.247142782895794e+16,6.771187753092122e+17,4.2896745810301727e+18,3.250483030375959e+20,673.0000000000006
0.01089604803200029,6.657036533787895e+18,7.394228077592549e+16,6.932991899318039e+17,4.3726511727368417e+18,3.188731072588471e+20,673.0000000000006
0.011237869923871957,6.764361633632305e+18,7.53347781200861e+16,7.05153667763805e+17,4.438158331229653e+18,3.1395768610208835e+20,673.0000000000006
0.011648056194117958,6.890820601328419e+18,7.682768898220619e+16,7.15589108563783e+17,4.5220572981512253e+18,3.0827534451128114e+20,673.0000000000006
0.012140279718413161,7.039426864039357e+18,7.832500656025982e+16,7.289847708887489e+17,4.625048145984073e+18,3.01888334132631e+20,673.0000000000006
0.012730947947567402,7.213630741768933e+18,8.022594221827203e+16,7.498376720562592e+17,4.73749476431241e+18,2.9490879906636965e+20,673.0000000000006
0.013223171471862605,7.356093271004989e+18,8.200239568864608e+16,7.643524104114235e+17,4.82721710197023e+18,2.8940950522191954e+20,673.0000000000006
0.013633357742108606,7.472996560164795e+18,8.334260410617851e+16,7.741593804671832e+17,4.905474686597428e+18,2.8498409386419234e+20,673.0000000000006
0.014125581266403809,7.610802588672521e+18,8.475771161647195e+16,7.879064282708755e+17,4.999083026750772e+18,2.799508227369923e+20,673.0000000000006
0.01453576753664981,7.724006602238531e+18,8.604818900382296e+16,8.025370880313727e+17,5.069887944123691e+18,2.7596721502573766e+20,673.0000000000006
0.014877589428521477,7.817248549989602e+18,8.727260018358514e+16,8.139104320815639e+17,5.125409983018829e+18,2.727651085469223e+20,673.0000000000006
0.015287775698767478,7.927603845287694e+18,8.86556332377326e+16,8.236447988949381e+17,5.196270877640246e+18,2.6902318092615493e+20,673.0000000000006
