parameters: E1[eV]/n1[atfr],  E2[eV]/n2[atfr],    E3[eV]/n3[atfr](only in 10 nm)
0.834/1.364e-03,  0.959/3.629e-04,  1.496/9.743e-02
Relative error with exp(%): 2.91
Temperature[K],    Des_flux[D2.m-2.s-1],   Des_flux[D.m-2.s-1]
782.400, 6.3323e+16,  1.2665e+17
783.200, 6.2670e+16,  1.2534e+17
784.000, 6.2049e+16,  1.2410e+17
784.800, 6.1410e+16,  1.2282e+17
785.600, 6.0804e+16,  1.2161e+17
786.400, 6.0194e+16,  1.2039e+17
787.200, 5.9596e+16,  1.1919e+17
788.000, 5.9004e+16,  1.1801e+17
788.800, 5.8411e+16,  1.1682e+17
789.600, 5.7834e+16,  1.1567e+17
790.400, 5.7265e+16,  1.1453e+17
791.200, 5.6690e+16,  1.1338e+17
792.000, 5.6130e+16,  1.1226e+17
792.800, 5.5578e+16,  1.1116e+17
793.600, 5.5030e+16,  1.1006e+17
794.400, 5.4489e+16,  1.0898e+17
795.200, 5.3955e+16,  1.0791e+17
796.000, 5.3429e+16,  1.0686e+17
796.800, 5.2908e+16,  1.0582e+17
797.600, 5.2394e+16,  1.0479e+17
798.400, 5.1879e+16,  1.0376e+17
799.200, 5.1374e+16,  1.0275e+17
800.000, 5.0881e+16,  1.0176e+17
800.800, 5.0391e+16,  1.0078e+17
801.600, 4.9902e+16,  9.9804e+16
802.400, 4.9424e+16,  9.8848e+16
803.200, 4.8952e+16,  9.7903e+16
804.000, 4.8482e+16,  9.6963e+16
804.800, 4.8021e+16,  9.6042e+16
805.600, 4.7561e+16,  9.5122e+16
806.400, 4.7107e+16,  9.4213e+16
807.200, 4.6659e+16,  9.3319e+16
808.000, 4.6214e+16,  9.2428e+16
808.800, 4.5778e+16,  9.1556e+16
809.600, 4.5346e+16,  9.0693e+16
810.400, 4.4918e+16,  8.9836e+16
811.200, 4.4494e+16,  8.8988e+16
812.000, 4.4077e+16,  8.8154e+16
812.800, 4.3659e+16,  8.7319e+16
813.600, 4.3252e+16,  8.6503e+16
814.400, 4.2850e+16,  8.5700e+16
815.200, 4.2450e+16,  8.4900e+16
816.000, 4.2052e+16,  8.4104e+16
816.800, 4.1661e+16,  8.3321e+16
817.600, 4.1275e+16,  8.2550e+16
818.400, 4.0892e+16,  8.1784e+16
819.200, 4.0515e+16,  8.1029e+16
820.000, 4.0140e+16,  8.0280e+16
820.800, 3.9771e+16,  7.9542e+16
821.600, 3.9405e+16,  7.8810e+16
822.400, 3.9044e+16,  7.8087e+16
823.200, 3.8686e+16,  7.7371e+16
824.000, 3.8332e+16,  7.6664e+16
824.800, 3.7982e+16,  7.5964e+16
825.600, 3.7636e+16,  7.5272e+16
826.400, 3.7294e+16,  7.4587e+16
827.200, 3.6955e+16,  7.3910e+16
828.000, 3.6620e+16,  7.3240e+16
828.800, 3.6289e+16,  7.2578e+16
829.600, 3.5961e+16,  7.1922e+16
830.400, 3.5637e+16,  7.1273e+16
831.200, 3.5316e+16,  7.0632e+16
832.000, 3.4999e+16,  6.9997e+16
832.800, 3.4684e+16,  6.9369e+16
833.600, 3.4374e+16,  6.8748e+16
834.400, 3.4066e+16,  6.8133e+16
835.200, 3.3763e+16,  6.7526e+16
836.000, 3.3461e+16,  6.6923e+16
836.800, 3.3165e+16,  6.6330e+16
837.600, 3.2870e+16,  6.5740e+16
838.400, 3.2579e+16,  6.5158e+16
839.200, 3.2291e+16,  6.4582e+16
840.000, 3.2006e+16,  6.4011e+16
840.800, 3.1723e+16,  6.3447e+16
841.600, 3.1444e+16,  6.2887e+16
842.400, 3.1168e+16,  6.2336e+16
843.200, 3.0894e+16,  6.1789e+16
844.000, 3.0623e+16,  6.1247e+16
844.800, 3.0356e+16,  6.0711e+16
845.600, 3.0091e+16,  6.0183e+16
846.400, 2.9829e+16,  5.9658e+16
847.200, 2.9570e+16,  5.9140e+16
848.000, 2.9313e+16,  5.8627e+16
848.800, 2.9060e+16,  5.8120e+16
849.600, 2.8808e+16,  5.7617e+16
850.400, 2.8560e+16,  5.7120e+16
851.200, 2.8313e+16,  5.6627e+16
852.000, 2.8070e+16,  5.6140e+16
852.800, 2.7828e+16,  5.5657e+16
853.600, 2.7590e+16,  5.5180e+16
854.400, 2.7353e+16,  5.4707e+16
855.200, 2.7119e+16,  5.4239e+16
856.000, 2.6888e+16,  5.3775e+16
856.800, 2.6658e+16,  5.3317e+16
857.600, 2.6431e+16,  5.2863e+16
858.400, 2.6207e+16,  5.2413e+16
859.200, 2.5984e+16,  5.1968e+16
860.000, 2.5764e+16,  5.1527e+16
860.800, 2.5545e+16,  5.1091e+16
861.600, 2.5329e+16,  5.0658e+16
862.400, 2.5115e+16,  5.0230e+16
863.200, 2.4903e+16,  4.9806e+16
864.000, 2.4693e+16,  4.9386e+16
864.800, 2.4485e+16,  4.8971e+16
865.600, 2.4279e+16,  4.8558e+16
866.400, 2.4075e+16,  4.8150e+16
867.200, 2.3873e+16,  4.7745e+16
868.000, 2.3673e+16,  4.7346e+16
868.800, 2.3474e+16,  4.6948e+16
869.600, 2.3278e+16,  4.6555e+16
870.400, 2.3082e+16,  4.6164e+16
871.200, 2.2889e+16,  4.5778e+16
872.000, 2.2698e+16,  4.5396e+16
872.800, 2.2508e+16,  4.5016e+16
873.600, 2.2320e+16,  4.4641e+16
874.400, 2.2134e+16,  4.4267e+16
875.200, 2.1949e+16,  4.3898e+16
876.000, 2.1766e+16,  4.3531e+16
876.800, 2.1584e+16,  4.3168e+16
877.600, 2.1403e+16,  4.2807e+16
878.400, 2.1225e+16,  4.2449e+16
879.200, 2.1047e+16,  4.2094e+16
880.000, 2.0871e+16,  4.1742e+16
880.800, 2.0696e+16,  4.1392e+16
881.600, 2.0523e+16,  4.1046e+16
882.400, 2.0350e+16,  4.0701e+16
883.200, 2.0180e+16,  4.0360e+16
884.000, 2.0010e+16,  4.0020e+16
884.800, 1.9841e+16,  3.9683e+16
885.600, 1.9674e+16,  3.9347e+16
886.400, 1.9507e+16,  3.9015e+16
887.200, 1.9342e+16,  3.8683e+16
888.000, 1.9178e+16,  3.8356e+16
888.800, 1.9014e+16,  3.8028e+16
889.600, 1.8852e+16,  3.7704e+16
890.400, 1.8690e+16,  3.7380e+16
891.200, 1.8530e+16,  3.7059e+16
892.000, 1.8370e+16,  3.6739e+16
892.800, 1.8211e+16,  3.6421e+16
893.600, 1.8052e+16,  3.6105e+16
894.400, 1.7895e+16,  3.5789e+16
895.200, 1.7738e+16,  3.5476e+16
896.000, 1.7582e+16,  3.5164e+16
896.800, 1.7427e+16,  3.4854e+16
897.600, 1.7272e+16,  3.4545e+16
898.400, 1.7118e+16,  3.4237e+16
899.200, 1.6966e+16,  3.3931e+16
900.000, 1.6813e+16,  3.3626e+16
900.800, 1.6660e+16,  3.3321e+16
901.600, 1.6509e+16,  3.3017e+16
902.400, 1.6357e+16,  3.2714e+16
903.200, 1.6206e+16,  3.2413e+16
904.000, 1.6056e+16,  3.2112e+16
904.800, 1.5906e+16,  3.1813e+16
905.600, 1.5757e+16,  3.1515e+16
906.400, 1.5609e+16,  3.1218e+16
907.200, 1.5461e+16,  3.0922e+16
908.000, 1.5313e+16,  3.0627e+16
908.800, 1.5166e+16,  3.0332e+16
909.600, 1.5019e+16,  3.0038e+16
910.400, 1.4873e+16,  2.9745e+16
911.200, 1.4726e+16,  2.9453e+16
912.000, 1.4580e+16,  2.9161e+16
912.800, 1.4435e+16,  2.8869e+16
913.600, 1.4289e+16,  2.8578e+16
914.400, 1.4144e+16,  2.8288e+16
915.200, 1.3999e+16,  2.7998e+16
916.000, 1.3855e+16,  2.7709e+16
916.800, 1.3710e+16,  2.7421e+16
917.600, 1.3566e+16,  2.7133e+16
918.400, 1.3423e+16,  2.6845e+16
919.200, 1.3279e+16,  2.6559e+16
920.000, 1.3136e+16,  2.6272e+16
920.800, 1.2993e+16,  2.5987e+16
921.600, 1.2850e+16,  2.5701e+16
922.400, 1.2709e+16,  2.5417e+16
923.200, 1.2566e+16,  2.5132e+16
924.000, 1.2424e+16,  2.4848e+16
924.800, 1.2282e+16,  2.4565e+16
925.600, 1.2141e+16,  2.4282e+16
926.400, 1.2000e+16,  2.3999e+16
927.200, 1.1859e+16,  2.3718e+16
928.000, 1.1719e+16,  2.3437e+16
928.800, 1.1579e+16,  2.3157e+16
929.600, 1.1439e+16,  2.2878e+16
930.400, 1.1300e+16,  2.2600e+16
931.200, 1.1161e+16,  2.2322e+16
932.000, 1.1023e+16,  2.2046e+16
932.800, 1.0885e+16,  2.1770e+16
933.600, 1.0748e+16,  2.1496e+16
934.400, 1.0611e+16,  2.1222e+16
935.200, 1.0475e+16,  2.0949e+16
936.000, 1.0339e+16,  2.0677e+16
936.800, 1.0203e+16,  2.0407e+16
937.600, 1.0068e+16,  2.0136e+16
938.400, 9.9339e+15,  1.9868e+16
939.200, 9.7998e+15,  1.9600e+16
940.000, 9.6667e+15,  1.9333e+16
940.800, 9.5337e+15,  1.9067e+16
941.600, 9.4018e+15,  1.8804e+16
942.400, 9.2701e+15,  1.8540e+16
943.200, 9.1393e+15,  1.8279e+16
944.000, 9.0089e+15,  1.8018e+16
944.800, 8.8795e+15,  1.7759e+16
945.600, 8.7504e+15,  1.7501e+16
946.400, 8.6225e+15,  1.7245e+16
947.200, 8.4948e+15,  1.6990e+16
948.000, 8.3683e+15,  1.6737e+16
948.800, 8.2421e+15,  1.6484e+16
949.600, 8.1169e+15,  1.6234e+16
950.400, 7.9922e+15,  1.5984e+16
951.200, 7.8689e+15,  1.5738e+16
952.000, 7.7459e+15,  1.5492e+16
952.800, 7.6240e+15,  1.5248e+16
953.600, 7.5028e+15,  1.5006e+16
954.400, 7.3825e+15,  1.4765e+16
955.200, 7.2631e+15,  1.4526e+16
956.000, 7.1447e+15,  1.4289e+16
956.800, 7.0270e+15,  1.4054e+16
957.600, 6.9106e+15,  1.3821e+16
958.400, 6.7947e+15,  1.3589e+16
959.200, 6.6802e+15,  1.3360e+16
960.000, 6.5664e+15,  1.3133e+16
960.800, 6.4539e+15,  1.2908e+16
961.600, 6.3421e+15,  1.2684e+16
962.400, 6.2318e+15,  1.2464e+16
963.200, 6.1222e+15,  1.2244e+16
964.000, 6.0139e+15,  1.2028e+16
964.800, 5.9064e+15,  1.1813e+16
965.600, 5.8000e+15,  1.1600e+16
966.400, 5.6945e+15,  1.1389e+16
967.200, 5.5905e+15,  1.1181e+16
968.000, 5.4874e+15,  1.0975e+16
968.800, 5.3851e+15,  1.0770e+16
969.600, 5.2844e+15,  1.0569e+16
970.400, 5.1845e+15,  1.0369e+16
971.200, 5.0858e+15,  1.0172e+16
972.000, 4.9881e+15,  9.9763e+15
972.800, 4.8915e+15,  9.7830e+15
973.600, 4.7960e+15,  9.5919e+15
974.400, 4.7014e+15,  9.4028e+15
975.200, 4.6084e+15,  9.2168e+15
976.000, 4.5165e+15,  9.0330e+15
976.800, 4.4258e+15,  8.8517e+15
977.600, 4.3363e+15,  8.6726e+15
978.400, 4.2479e+15,  8.4957e+15
979.200, 4.1604e+15,  8.3208e+15
980.000, 4.0743e+15,  8.1486e+15
980.800, 3.9891e+15,  7.9782e+15
981.600, 3.9055e+15,  7.8111e+15
982.400, 3.8231e+15,  7.6463e+15
983.200, 3.7416e+15,  7.4832e+15
984.000, 3.6613e+15,  7.3226e+15
984.800, 3.5818e+15,  7.1636e+15
985.600, 3.5042e+15,  7.0083e+15
986.400, 3.4278e+15,  6.8556e+15
987.200, 3.3525e+15,  6.7051e+15
988.000, 3.2785e+15,  6.5569e+15
988.800, 3.2055e+15,  6.4110e+15
989.600, 3.1337e+15,  6.2674e+15
990.400, 3.0630e+15,  6.1260e+15
991.200, 2.9935e+15,  5.9869e+15
992.000, 2.9250e+15,  5.8500e+15
992.800, 2.8577e+15,  5.7155e+15
993.600, 2.7915e+15,  5.5830e+15
994.400, 2.7265e+15,  5.4529e+15
995.200, 2.6624e+15,  5.3249e+15
996.000, 2.5996e+15,  5.1992e+15
996.800, 2.5377e+15,  5.0754e+15
997.600, 2.4771e+15,  4.9543e+15
998.400, 2.4174e+15,  4.8347e+15
999.200, 2.3588e+15,  4.7176e+15
1000.000, 2.3012e+15,  4.6024e+15
1000.800, 2.2445e+15,  4.4891e+15
1001.600, 2.1888e+15,  4.3776e+15
1002.400, 2.1343e+15,  4.2687e+15
1003.200, 2.0811e+15,  4.1622e+15
1004.000, 2.0288e+15,  4.0575e+15
1004.800, 1.9775e+15,  3.9550e+15
1005.600, 1.9272e+15,  3.8545e+15
1006.400, 1.8777e+15,  3.7554e+15
1007.200, 1.8296e+15,  3.6592e+15
1008.000, 1.7824e+15,  3.5648e+15
1008.800, 1.7357e+15,  3.4715e+15
1009.600, 1.6901e+15,  3.3802e+15
1010.400, 1.6454e+15,  3.2907e+15
1011.200, 1.6015e+15,  3.2030e+15
1012.000, 1.5586e+15,  3.1171e+15
1012.800, 1.5166e+15,  3.0332e+15
1013.600, 1.4755e+15,  2.9510e+15
1014.400, 1.4354e+15,  2.8707e+15
1015.200, 1.3963e+15,  2.7925e+15
1016.000, 1.3581e+15,  2.7162e+15
1016.800, 1.3205e+15,  2.6411e+15
1017.600, 1.2837e+15,  2.5675e+15
1018.400, 1.2479e+15,  2.4959e+15
1019.200, 1.2137e+15,  2.4274e+15
1020.000, 1.1789e+15,  2.3578e+15
1020.800, 1.1454e+15,  2.2908e+15
1021.600, 1.1128e+15,  2.2255e+15
1022.400, 1.0808e+15,  2.1616e+15
1023.200, 1.0497e+15,  2.0994e+15
1024.000, 1.0194e+15,  2.0388e+15
1024.800, 9.8972e+14,  1.9794e+15
1025.600, 9.6070e+14,  1.9214e+15
1026.400, 9.3245e+14,  1.8649e+15
1027.200, 9.0496e+14,  1.8099e+15
1028.000, 8.7813e+14,  1.7563e+15
1028.800, 8.5192e+14,  1.7038e+15
1029.600, 8.2644e+14,  1.6529e+15
1030.400, 8.0155e+14,  1.6031e+15
1031.200, 7.7724e+14,  1.5545e+15
1032.000, 7.5346e+14,  1.5069e+15
1032.800, 7.3027e+14,  1.4605e+15
1033.600, 7.0764e+14,  1.4153e+15
1034.400, 6.8567e+14,  1.3713e+15
1035.200, 6.6481e+14,  1.3296e+15
1036.000, 6.4340e+14,  1.2868e+15
1036.800, 6.2319e+14,  1.2464e+15
1037.600, 6.0356e+14,  1.2071e+15
1038.400, 5.8440e+14,  1.1688e+15
1039.200, 5.6584e+14,  1.1317e+15
1040.000, 5.4783e+14,  1.0957e+15
1040.800, 5.3024e+14,  1.0605e+15
1041.600, 5.1310e+14,  1.0262e+15
1042.400, 4.9651e+14,  9.9302e+14
1043.200, 4.8041e+14,  9.6083e+14
1044.000, 4.6470e+14,  9.2940e+14
1044.800, 4.4942e+14,  8.9884e+14
1045.600, 4.3463e+14,  8.6927e+14
1046.400, 4.2029e+14,  8.4059e+14
1047.200, 4.0629e+14,  8.1259e+14
1048.000, 3.9268e+14,  7.8536e+14
1048.800, 3.7941e+14,  7.5882e+14
1049.600, 3.6657e+14,  7.3315e+14
1050.400, 3.5412e+14,  7.0824e+14
1051.200, 3.4206e+14,  6.8412e+14
1052.000, 3.3036e+14,  6.6073e+14
1052.800, 3.1916e+14,  6.3832e+14
1053.600, 3.0809e+14,  6.1619e+14
1054.400, 2.9756e+14,  5.9511e+14
1055.200, 2.8715e+14,  5.7430e+14
1056.000, 2.7725e+14,  5.5450e+14
1056.800, 2.6747e+14,  5.3493e+14
1057.600, 2.5817e+14,  5.1634e+14
1058.400, 2.4898e+14,  4.9796e+14
1059.200, 2.4026e+14,  4.8051e+14
1060.000, 2.3166e+14,  4.6332e+14
1060.800, 2.2346e+14,  4.4692e+14
1061.600, 2.1539e+14,  4.3078e+14
1062.400, 2.0770e+14,  4.1541e+14
1063.200, 2.0014e+14,  4.0028e+14
1064.000, 1.9294e+14,  3.8589e+14
1064.800, 1.8586e+14,  3.7172e+14
1065.600, 1.7912e+14,  3.5824e+14
1066.400, 1.7249e+14,  3.4498e+14
1067.200, 1.6619e+14,  3.3238e+14
1068.000, 1.6001e+14,  3.2001e+14
1068.800, 1.5411e+14,  3.0822e+14
1069.600, 1.4832e+14,  2.9664e+14
1070.400, 1.4281e+14,  2.8562e+14
1071.200, 1.3741e+14,  2.7481e+14
1072.000, 1.3226e+14,  2.6453e+14
1072.800, 1.2722e+14,  2.5444e+14
1073.600, 1.2242e+14,  2.4484e+14
1074.400, 1.1771e+14,  2.3543e+14
1075.200, 1.1324e+14,  2.2649e+14
1076.000, 1.0887e+14,  2.1773e+14
1076.800, 1.0470e+14,  2.0939e+14
1077.600, 1.0061e+14,  2.0123e+14
1078.400, 9.6731e+13,  1.9346e+14
1079.200, 9.2932e+13,  1.8586e+14
1080.000, 8.9319e+13,  1.7864e+14
1080.800, 8.5785e+13,  1.7157e+14
1081.600, 8.2426e+13,  1.6485e+14
1082.400, 7.9140e+13,  1.5828e+14
1083.200, 7.6020e+13,  1.5204e+14
1084.000, 7.2973e+13,  1.4595e+14
1084.800, 7.0072e+13,  1.4014e+14
1085.600, 6.7241e+13,  1.3448e+14
1086.400, 6.4549e+13,  1.2910e+14
1087.200, 6.1923e+13,  1.2385e+14
1088.000, 5.9427e+13,  1.1885e+14
1088.800, 5.6991e+13,  1.1398e+14
1089.600, 5.4678e+13,  1.0936e+14
1090.400, 5.2422e+13,  1.0484e+14
1091.200, 5.0279e+13,  1.0056e+14
1092.000, 4.8194e+13,  9.6388e+13
1092.800, 4.6209e+13,  9.2418e+13
1093.600, 4.4277e+13,  8.8554e+13
1094.400, 4.2441e+13,  8.4883e+13
1095.200, 4.0655e+13,  8.1310e+13
1096.000, 3.8958e+13,  7.7916e+13
1096.800, 3.7307e+13,  7.4614e+13
1097.600, 3.5740e+13,  7.1479e+13
1098.400, 3.4215e+13,  6.8430e+13
1099.200, 3.2768e+13,  6.5536e+13
1100.000, 3.1363e+13,  6.2726e+13
